time_period	DeltaLogC_me	DeltaLogC	DeltaLogY	A	BigTheta	Delta8LogC	Delta8LogY	Delta8LogC_me	Measurement_Error	MrkvState
1557.0	0.0015102372335142888	0.011791272872155645	0.013983482470099506	1.7865666925997985	0.9983145386213296	0.09782199244099044	0.1024824885367468	0.10933731749316156	-0.010083557365808958	10.0
1558.0	0.012898603119980034	0.003518068391410889	-0.0074944921075195126	1.7807226024993472	0.9955793060550246	0.09114105573975095	0.08584951813362407	0.09361413711289979	-0.0007030226372396694	10.0
1559.0	-0.00041723868117404805	-0.005695009718571065	-0.014765876313754145	1.7683768047016095	0.9999951060739193	0.07145219226513477	0.05213004369304164	0.06840636537031086	0.004574748400157172	9.0
1560.0	0.006225647879157581	0.009298478703051671	0.020534300541231953	1.7645617971043546	0.9983145386213296	0.07024402025659704	0.07524483273495486	0.07054024077089105	0.00150191757626309	9.0
1561.0	0.0038200592945902834	0.009575115256421185	0.00830406620772317	1.7479258016135366	0.9983145386213296	0.061229073132986755	0.05766542970788846	0.06270520368005528	-0.004253138385567681	10.0
1562.0	0.017397343665197074	0.012354170184563529	0.025680126422040317	1.7835238475335669	0.9999951060739193	0.06916739386011361	0.08678140139749813	0.0698062489122031	0.0007900350950657219	9.0
1563.0	0.009898599997514967	0.006028004699457412	-0.00053873985408881	1.8056258038879478	0.9999951060739193	0.06316754193820762	0.0731207147849493	0.054454982499168914	0.004660630393123471	9.0
1564.0	-0.0038433900046959124	0.004068464318719656	0.0008465825642547387	1.813749056261251	0.9983145386213296	0.05093856470720892	0.04654944992998722	0.04629973789277786	-0.0032512239302921178	9.0
1565.0	0.0027443496265164846	0.0016440347249044862	0.0037997876943149933	1.843614976660182	0.9999951060739193	0.04079132655995776	0.036365755154202706	0.03467391959995236	-0.0021509090286803267	8.0
1566.0	-0.00040991073567608893	-0.006454945968025871	-0.006149664751081474	1.8775973620596562	0.9955793060550246	0.030818312200521003	0.037710582510640744	0.03048924620506277	0.0038941262036693725	7.0
1567.0	-0.005026064405714514	-0.0004368013467233034	-0.0021448559178178783	1.893928938269892	0.9983145386213296	0.036076520572368764	0.05033160290657701	0.037708617649797826	-0.0006951368553214862	7.0
1568.0	-0.0009040972968610284	-0.000968206983380071	-0.002618158241471935	1.9127717289844846	0.9955793060550246	0.025809834885937022	0.027179144123873122	0.02140937932264375	-0.0006310271688025371	7.0
1569.0	0.006901612745187968	0.002527250048665053	-0.002904314252222928	1.9118126022989563	0.9983145386213296	0.01876196967818089	0.015970763663927023	0.01972982806625101	0.003743335527720548	7.0
1570.0	-5.257910975142721e-05	0.001424646328826995	0.004939410782182296	1.9196368722184085	1.0044324750173943	0.007832445822444356	-0.004769951975930997	0.004479046464010317	0.002266110089141721	7.0
1571.0	0.021109385724208174	0.016852599258615264	0.027462620373311264	1.9371176319988996	1.0016785742323322	0.018657040381602208	0.023231408251469077	0.022543885951661125	0.0065228965547346925	8.0
1572.0	0.014771404462350812	0.021561882209721883	0.005944303773627979	1.9122143006032009	1.0016785742323322	0.036150458272604435	0.028329129460842317	0.04152408694756948	-0.00026758119263647337	9.0
1573.0	0.013028908373289294	0.006579059289415934	0.018182783326749608	1.9479605483761164	0.9999951060739193	0.04108548283711588	0.04271212509327693	0.037436589878020676	0.006182267891237006	8.0
1574.0	0.004632432651648255	0.01107556764831541	0.01599159923007809	1.9651065024991703	0.9999951060739193	0.058615996453457164	0.0648533890744365	0.05732724740517314	-0.00026086710542984906	9.0
1575.0	-0.003234554235792775	-0.0006725471739943423	-0.02256356061023279	1.9585116682419066	0.9999951060739193	0.058380250626186125	0.04443468438202158	0.05642256076706298	-0.002822874167228269	8.0
1576.0	0.0018791678496810071	0.002191603212336357	0.011670137012064874	1.9613179010717063	1.0044324750173943	0.061540060821902554	0.05872297963555839	0.07070724625823921	-0.0031353095298838995	8.0
1577.0	-0.00726671157836245	-0.005332664370715889	-0.010774426969548667	1.9679750412638237	1.0044324750173943	0.05368014640252161	0.05085286691823265	0.05555298432931366	-0.005069356737530312	7.0
1578.0	-0.0025515145715546694	-0.00387263362506296	0.008966914180355001	1.9994655860756687	1.0016785742323322	0.048382866448631656	0.05488037031640536	0.049601488555635065	-0.0037482376840222743	7.0
1579.0	0.00880232356054389	0.009563318655323005	0.0029762278631886296	2.0010075654144335	0.9955793060550246	0.0410935858453394	0.030393977806282724	0.04123212766412587	-0.004509232778801024	7.0
1580.0	0.006641228075035865	0.0005595091087591264	-0.010603850195299191	1.9812115255263185	0.9955793060550246	0.02009121274437664	0.013845823837355553	0.013690080461243426	0.001572486187475323	7.0
1581.0	0.0009994980001732934	0.004173923102692267	0.004536920233456421	1.9447432971639624	0.9999951060739193	0.017686076557652974	0.0001999607440623663	0.019219465985728323	-0.0016019389150433423	8.0
1582.0	0.022696452355746022	0.014431602760934137	0.01914258407735714	1.9275473567428778	1.0016785742323322	0.0210421116702717	0.0033509455913414143	0.02645829189916471	0.00666291067976841	8.0
1583.0	0.0008426794918325875	0.01120116963893203	0.0231065585680863	1.9297976477007972	1.0016785742323322	0.03291582848319807	0.049021064769660505	0.03217731668910995	-0.0036955794673309396	9.0
1584.0	0.011549721725010897	0.009105237276762601	-0.010710238117158433	1.8962112904572037	0.9955793060550246	0.03982946254762432	0.0266406896404372	0.03428628557089253	-0.0012510950190826415	9.0
1585.0	0.018401379230542414	0.013843069916694706	0.021113661729672994	1.8637705821736554	1.0016785742323322	0.05900519683503491	0.05852877833965886	0.05391132816480759	0.0033072142947651087	10.0
1586.0	-0.002524159744849541	-0.00035664190015927133	-0.0032995904411405874	1.8441926968408258	1.0016785742323322	0.0625211885599386	0.04626227371816327	0.06778145940578195	0.001139696450074674	10.0
1587.0	0.007998220074876716	0.005631298803274287	0.014353120685235865	1.8462909122561375	0.9955793060550246	0.05858916870788988	0.05763916654021051	0.05380803356051844	0.0035066177216772636	10.0
1588.0	0.0030773975040543355	0.008877917217391396	0.008521325382791378	1.8412188848194666	0.9955793060550246	0.06690757681652215	0.07676434211830108	0.06581874065241511	-0.002293901991659981	10.0
1589.0	0.009636540467667487	0.004999743596121764	-0.0027612823204092862	1.816647846394096	0.9999951060739193	0.06773339730995165	0.06946613956443537	0.07375862496559993	0.0023428948798860237	10.0
1590.0	-0.00628389535899565	-0.0003441947240196974	0.006410702256823608	1.8251123775090266	0.9999951060739193	0.052957599824997814	0.05673425774390184	0.04917430577251469	-0.0035968057550902722	9.0
1591.0	0.014814407465425727	0.007044916910937893	0.016760318276110464	1.8447739025094037	0.9999951060739193	0.04880134709700368	0.050388017451926004	0.049697979757439725	0.0041726847993975	9.0
1592.0	-0.008003309203008069	-0.0005781185839688341	-0.010165638245589026	1.8567571615283658	0.9999951060739193	0.03911799123627224	0.05093261732349541	0.04438019164565432	-0.0032525058196416325	8.0
1593.0	0.008066401513289634	0.010752898907299357	0.01850839305822216	1.858295352995406	0.9983145386213296	0.036027820226876894	0.04832734865204458	0.0318011140746326	-0.00593900321365129	9.0
1594.0	0.009109597354571175	0.0022495930504775608	-0.0017062199055328797	1.8801288563645844	0.9983145386213296	0.038634055177513726	0.049920719187652285	0.0347106406180826	0.0009210010904423355	8.0
1595.0	-8.318253556272026e-05	0.0007334072435662975	-0.0014570760860048715	1.8828219754357658	0.9999951060739193	0.03373616361780574	0.03411052241641155	0.03139729064143282	0.00010441131131330845	8.0
1596.0	-0.0070522787661837505	-0.0028326248034242774	-0.004154814525127115	1.8886806022812528	1.0016785742323322	0.022025621596990064	0.021434382508493055	0.016905547443339053	-0.004115242651446236	8.0
1597.0	0.0010881435597105416	-0.0018389413619517292	-0.0025085335372736495	1.9034061453088107	1.0044324750173943	0.01518693663891657	0.021687131291628692	0.008624582729412023	-0.0011881577297838026	7.0
1598.0	-0.002190542642377391	0.001258276376657097	0.007823016376001135	1.9143973780411683	0.9999951060739193	0.016789407739593365	0.02309944541080622	0.021086287374715518	-0.004636976748818489	8.0
1599.0	0.018793042986406494	0.009938321742806178	-0.005953749258308161	1.8826198103060245	1.0016785742323322	0.01968281257146165	0.0003853778763875937	0.015538570576081323	0.004217744494781961	8.0
1600.0	0.0008615000582596899	0.0031537851208072176	0.01947518151922978	1.9149350188411838	0.9955793060550246	0.0234147162762377	0.030026197641206398	0.02744573730388078	0.0019254594322346275	7.0
1601.0	0.00209405238661331	0.0032047113384288117	0.007525740068610176	1.9381113067576798	1.0044324750173943	0.015866528707367156	0.019043544651594413	0.01842245350022642	0.0008148004804188762	7.0
1602.0	0.01439979227184951	0.01114054163958711	0.011780355696394462	1.9631594985609488	1.0044324750173943	0.024757477296476704	0.032530120253521755	0.024907816325625998	0.004074051112681461	8.0
1603.0	0.010412811888008466	0.01664279465843599	0.008373574704929165	1.9641620647217826	0.9999951060739193	0.040666864711346395	0.04236077104445579	0.048974999938810715	-0.002155931657746027	9.0
1604.0	-0.005528772407054294	-0.004524382874188326	-0.01818605437184395	1.9516330099604542	0.9999951060739193	0.038975106640582347	0.028329531197738955	0.05131500807274669	-0.0031603211906119687	8.0
1605.0	0.0010955562621508541	0.0027496028808395856	0.01480434895041638	1.9485355994387124	0.9999951060739193	0.04356365088337366	0.045642413685428984	0.0496360358735366	-0.004814367809300895	8.0
1606.0	0.010148721556826334	0.006799150560354406	0.0008582533340883991	1.930333975095358	0.9983145386213296	0.04910452506707097	0.03867765064351625	0.043338943770518945	-0.0014647968128291724	8.0
1607.0	0.013977276667699545	0.012975428959846269	0.02118983694440857	1.9222696381455264	0.9999951060739193	0.05214163228411106	0.06582123684623298	0.04983680523401768	-0.0004629491049758031	9.0
1608.0	0.001439385629532719	0.0076093228755085285	0.006201853540216629	1.9247916600099548	0.9983145386213296	0.05659717003881237	0.05254790886721983	0.05074565456868507	-0.006632886350951321	9.0
1609.0	0.017786812896635862	0.007309060860744676	-0.005865488827878629	1.8938330713207132	1.0044324750173943	0.06070151956112824	0.03915667997073102	0.0642787638267146	0.0038448656849396404	9.0
