yy1,y1,wgt,age,educ,edcl,norminc,liq,cds,nmmf,stocks,bond,ccbal,veh_inst,install
30,301,5315.228522077427,60,8,2,90500.12155186162,4067.049121548942,10845.46432413051,203352.4560774471,0,0,813.4098243097884,21690.92864826103,21690.92864826103
30,302,5878.888260076203,60,8,2,90500.12155186162,4067.049121548942,10845.46432413051,203352.4560774471,0,0,813.4098243097884,21690.92864826103,21690.92864826103
30,303,5245.4686271561,60,8,2,90500.12155186162,4067.049121548942,10845.46432413051,203352.4560774471,0,0,813.4098243097884,21690.92864826103,21690.92864826103
30,304,5228.757051400307,60,8,2,90500.12155186162,4067.049121548942,10845.46432413051,203352.4560774471,0,0,813.4098243097884,21690.92864826103,21690.92864826103
30,305,5496.30697481264,60,8,2,90500.12155186162,4067.049121548942,10845.46432413051,203352.4560774471,0,0,813.4098243097884,21690.92864826103,21690.92864826103
31,311,7548.029413325411,66,9,3,79361.64505317097,3389.207601290785,0,0,0,0,0,0,0
31,312,7058.071761142006,66,9,3,80753.9546155073,3389.207601290785,0,0,0,0,0,0,0
31,313,7669.291118579757,66,9,3,80753.9546155073,3389.207601290785,0,0,0,0,0,0,0
31,314,7656.812358624375,66,9,3,80753.9546155073,3389.207601290785,0,0,0,0,0,0,0
31,315,7545.882233649815,66,9,3,80753.9546155073,3389.207601290785,0,0,0,0,0,0,0
32,321,7224.596706796714,43,1,1,25061.57212205399,0,0,0,0,0,0,0,0
32,322,7213.159732155118,43,1,1,12948.4789297279,0,0,0,0,0,0,0,0
32,323,7234.863808095952,43,1,1,29238.50080906299,0,0,0,0,0,0,0,0
32,324,7208.59721612161,43,1,1,58477.00161812599,0,0,0,0,0,0,0,0
32,325,7192.584305541478,43,1,1,37592.35818308099,0,0,0,0,0,0,0,0
33,331,7729.198222464227,42,8,2,57084.69205578965,54.22732162065256,0,0,0,0,2711.366081032628,9489.781283614198,9489.781283614198
33,332,7417.430134901651,42,8,2,55692.38249345332,691.3983506633202,0,0,0,0,2711.366081032628,9489.781283614198,9489.781283614198
33,333,7667.597960673374,42,8,2,36200.04862074465,1531.921835783435,0,0,0,0,2711.366081032628,9489.781283614198,9489.781283614198
33,334,7700.720711658616,42,8,2,57084.69205578965,298.2502689135891,0,0,0,0,2711.366081032628,9489.781283614198,9489.781283614198
33,335,7573.454301862871,42,8,2,45946.21555709899,528.7163858013625,0,0,0,0,2711.366081032628,9489.781283614198,9489.781283614198
34,341,886.5882925506728,35,14,4,218592.6012868043,86831.49874506991,0,20335.24560774471,0,0,0,4067.049121548942,4067.049121548942
34,342,897.3826043744245,35,14,4,168469.4570426963,86831.49874506991,0,20335.24560774471,0,0,0,4067.049121548942,4067.049121548942
34,343,883.9996544977455,35,14,4,417692.8687008998,86831.49874506991,0,20335.24560774471,0,0,0,4067.049121548942,4067.049121548942
34,344,906.737223226099,35,14,4,175431.004854378,86831.49874506991,0,20335.24560774471,0,0,0,4067.049121548942,4067.049121548942
34,345,919.3611911005439,35,14,4,257577.2690322216,86831.49874506991,0,20335.24560774471,0,0,0,4067.049121548942,4067.049121548942
35,351,4344.502201723588,66,12,4,168469.4570426963,624969.8816780208,271136.6081032628,0,101676.2280387236,0,0,37959.12513445679,37959.12513445679
35,352,4585.868034938811,66,12,4,168469.4570426963,624969.8816780208,271136.6081032628,0,101676.2280387236,0,0,37959.12513445679,37959.12513445679
35,353,4348.722164383706,66,12,4,168469.4570426963,624969.8816780208,271136.6081032628,0,101676.2280387236,0,0,37959.12513445679,37959.12513445679
35,354,4669.767623901258,66,12,4,168469.4570426963,624969.8816780208,271136.6081032628,0,101676.2280387236,0,0,37959.12513445679,37959.12513445679
35,355,4451.28213940566,66,12,4,168469.4570426963,624969.8816780208,271136.6081032628,0,101676.2280387236,0,0,37959.12513445679,37959.12513445679
36,361,7665.52094940188,44,12,4,83538.57374017997,7185.120114736465,0,0,0,0,4067.049121548942,35247.75905342417,35247.75905342417
36,362,7360.385115082511,44,12,4,83538.57374017997,7185.120114736465,0,0,0,0,4067.049121548942,33892.07601290786,33892.07601290786
36,363,7662.606521744108,44,12,4,83538.57374017997,7185.120114736465,0,0,0,0,4067.049121548942,33892.07601290786,33892.07601290786
36,364,7638.633765816579,44,12,4,83538.57374017997,7185.120114736465,0,0,0,0,4067.049121548942,33892.07601290786,33892.07601290786
36,365,7554.815932892203,44,12,4,83538.57374017997,7185.120114736465,0,0,0,0,4067.049121548942,33892.07601290786,33892.07601290786
37,371,4546.793391252542,31,8,2,72400.0972414893,406.7049121548942,610.0573682323413,0,596.5005378271782,0,0,0,542.2732162065256
